country,n_rows,n_stations,n_wosis_props,has_sg,n_sg_tifs,n_sg_props
Argentina,14397,285,18,True,16,3
Argentina_Patagonia,14397,285,18,True,12,2
Austria,681,129,13,True,79,13
Bangladesh,1576,200,11,True,79,13
Belarus,4503,92,11,True,79,13
Belgium,167843,6969,18,True,79,13
"Bolivia,_Plurinational_State_of",3816,82,11,True,12,2
"Bonaire,_Sint_Eustatius_and_Saba",21795,1354,19,True,79,13
Bosnia_and_Herzegovina,112,31,4,True,79,13
Brazil,40,2,9,True,23,4
Bulgaria,6628,137,20,True,79,13
Canary_Islands,10184,846,20,True,79,13
Colombia,13195,174,20,True,74,13
Costa_Rica,19805,557,20,True,79,13
Cyprus,31,9,4,True,79,13
Czechia,13153,638,13,True,79,13
Denmark,1655,67,15,True,79,13
Djibouti,0,0,0,True,79,13
Ecuador,8193,113,19,True,50,9
Finland,4012,392,19,True,79,13
French_Guiana,45284,3127,20,True,79,13
Honduras,1284,22,13,True,79,13
Hungary,45223,1408,18,True,79,13
Iceland,210,8,10,True,79,13
India,10361,172,19,True,19,4
Indonesia,13599,172,20,False,0,0
Ireland,2663,166,17,True,79,13
Italy,7677,516,19,True,79,13
Japan,6392,130,19,True,79,13
"Korea,_Republic_of",2866,23,12,True,79,13
Latvia,1405,93,15,True,79,13
Liechtenstein,0,0,0,True,79,13
Lithuania,2686,114,15,True,79,13
Luxembourg,1882,136,12,True,79,13
Malaysia,6549,104,19,True,79,13
Malta,0,0,0,True,79,13
Mexico,130006,7494,14,True,16,3
Monaco,0,0,0,True,79,13
Nepal,4690,140,13,True,79,13
North_Macedonia,126,27,5,True,79,13
Norway,2297,379,17,True,79,13
Pakistan,8472,47,18,False,0,0
Peru,10447,181,18,True,79,13
Philippines,8425,68,19,True,79,13
Poland,15340,680,20,True,79,13
Portugal,8374,433,12,True,79,13
Romania,5505,117,17,True,79,13
San_Marino,0,0,0,True,79,13
Serbia,384,72,13,True,79,13
Slovakia,4382,152,17,True,79,13
Slovenia,691,68,12,True,79,13
Spain,10184,846,20,True,79,13
Sweden,4343,605,17,True,79,13
Switzerland,181844,10436,12,True,79,13
Thailand,45,1,8,True,79,13
Thailand_North,18829,378,19,True,79,13
Ukraine,7135,461,14,True,79,13
United_Kingdom,23520,1462,15,True,79,13
Unknown_SG_only,0,0,0,True,72,11
Uruguay,9296,129,19,True,79,13
Vatican_City,0,0,0,False,0,0
Viet_Nam,782,53,7,True,79,13
